FECHA;CODIGO;NUMERO;MESA;OPERADOR;ESTADO;TIEMPO_ATENCION;TIEMPO_ESPERA;HORA_INGRESO;HORA_INICIO;HORA_FIN;KARDEX;CELULAR;SUCURSAL
5/3/2025;CSG;1;C  9;PComercial9 PComercial9;atendido;00:00:02;00:05:01;08:42:25;08:47:26;08:47:28;0;;La Paz - 01
5/3/2025;CSG;2;C  9;PComercial9 PComercial9;atendido;00:00:32;00:02:16;08:45:12;08:47:28;08:48:00;0;;La Paz - 01
5/3/2025;SG;1;C  13;PComercial13 PComercial13;atendido;00:03:57;00:01:05;08:40:35;08:41:40;08:45:37;0;;La Paz - 01
5/3/2025;EG;1;C  21;PComercial21 PComercial21;atendido;00:01:08;00:10:49;08:32:39;08:43:28;08:44:36;0;;La Paz - 01
5/3/2025;EP;1;C  21;PComercial21 PComercial21;atendido;00:01:09;00:07:47;08:33:03;08:40:50;08:41:59;0;;La Paz - 01
5/3/2025;EG;2;C  21;PComercial21 PComercial21;atendido;00:01:41;00:05:08;08:41:41;08:46:49;08:48:30;0;;La Paz - 01
5/3/2025;ATG;1;S  1;PSiniestros1 PSiniestros1;atendido;00:34:36;00:04:21;08:33:27;08:37:48;09:12:24;0;;La Paz - 01
5/3/2025;ATG;2;S  2;PSiniestros2 PSiniestros2;atendido;00:02:45;00:01:51;08:36:25;08:38:16;08:41:01;0;;La Paz - 01
5/3/2025;ATG;3;S  2;PSiniestros2 PSiniestros2;atendido;00:16:03;00:02:24;08:38:38;08:41:02;08:57:05;0;;La Paz - 01
5/3/2025;APG;1;S  3;PSiniestros3 PSiniestros3;atendido;00:33:29;00:04:29;08:32:52;08:37:21;09:10:50;0;;La Paz - 01
5/3/2025;VCG;1;C  6;PComercial6 PComercial6;atendido;00:08:37;00:03:31;09:08:40;09:12:11;09:20:48;0;;La Paz - 01
5/3/2025;SG;2;C  13;PComercial13 PComercial13;atendido;00:03:25;00:01:11;09:12:15;09:13:26;09:16:51;0;;La Paz - 01
5/3/2025;SG;3;C  13;PComercial13 PComercial13;atendido;00:07:12;00:00:27;09:20:51;09:21:18;09:28:30;0;;La Paz - 01
5/3/2025;SG;4;C  13;PComercial13 PComercial13;atendido;00:06:23;00:00:21;09:31:23;09:31:44;09:38:07;0;;La Paz - 01
5/3/2025;SG;5;C  13;PComercial13 PComercial13;atendido;00:02:33;00:02:13;09:38:45;09:40:58;09:43:31;0;;La Paz - 01
5/3/2025;SG;7;C  13;PComercial13 PComercial13;atendido;00:00:48;00:02:30;09:41:51;09:44:21;09:45:09;0;;La Paz - 01
5/3/2025;SG;8;C  13;PComercial13 PComercial13;atendido;00:06:03;00:00:16;09:59:38;09:59:54;10:05:57;0;;La Paz - 01
5/3/2025;SG;6;C  13;PComercial13 PComercial13;ausente;00:00:46;00:02:02;09:41:31;09:43:33;09:44:19; ;;La Paz - 01
5/3/2025;EG;3;C  21;PComercial21 PComercial21;atendido;00:02:25;00:00:11;09:42:39;09:42:50;09:45:15;0;;La Paz - 01
5/3/2025;EG;4;C  21;PComercial21 PComercial21;atendido;00:04:46;00:03:45;09:47:16;09:51:01;09:55:47;0;;La Paz - 01
5/3/2025;ATG;5;S  1;PSiniestros1 PSiniestros1;atendido;00:13:47;00:04:22;09:29:32;09:33:54;09:47:41;0;;La Paz - 01
5/3/2025;ACG;1;S  2;PSiniestros2 PSiniestros2;atendido;00:03:37;00:01:27;09:06:17;09:07:44;09:11:21;0;;La Paz - 01
5/3/2025;ATG;4;S  2;PSiniestros2 PSiniestros2;atendido;00:13:17;00:05:20;09:27:43;09:33:03;09:46:20;0;;La Paz - 01
5/3/2025;ATG;6;S  2;PSiniestros2 PSiniestros2;atendido;00:09:54;00:01:48;09:57:44;09:59:32;10:09:26;0;;La Paz - 01
5/3/2025;AMG;1;S  4;PSiniestros4 PSiniestros4;atendido;00:07:04;00:08:13;09:45:25;09:53:38;10:00:42;0;;La Paz - 01
5/3/2025;VCG;2;C  7;PComercial7 PComercial7;atendido;00:22:04;00:00:12;10:33:13;10:33:25;10:55:29;0;;La Paz - 01
5/3/2025;VAG;1;C  9;PComercial9 PComercial9;atendido;00:03:42;00:08:27;10:21:17;10:29:44;10:33:26;0;;La Paz - 01
5/3/2025;CSG;3;C  9;PComercial9 PComercial9;atendido;00:00:02;00:10:40;10:18:53;10:29:33;10:29:35;0;;La Paz - 01
5/3/2025;VCG;3;C  9;PComercial9 PComercial9;atendido;00:07:59;00:00:04;10:49:02;10:49:06;10:57:05;0;;La Paz - 01
5/3/2025;EG;5;C  13;PComercial13 PComercial13;atendido;00:04:09;00:00:18;10:16:40;10:16:58;10:21:07;0; ;La Paz - 01
5/3/2025;SG;9;C  13;PComercial13 PComercial13;atendido;00:03:07;00:00:36;10:22:17;10:22:53;10:26:00;0;;La Paz - 01
5/3/2025;SG;10;C  13;PComercial13 PComercial13;atendido;00:02:26;00:02:02;10:35:22;10:37:24;10:39:50;0;;La Paz - 01
5/3/2025;SG;11;C  13;PComercial13 PComercial13;atendido;00:04:02;00:00:18;10:48:18;10:48:36;10:52:38;0;;La Paz - 01
5/3/2025;SG;12;C  13;PComercial13 PComercial13;atendido;00:03:25;00:00:49;10:51:56;10:52:45;10:56:10;0;;La Paz - 01
5/3/2025;SG;13;C  13;PComercial13 PComercial13;atendido;00:12:22;00:02:16;10:53:57;10:56:13;11:08:35;0;;La Paz - 01
5/3/2025;SG;14;C  13;PComercial13 PComercial13;atendido;00:04:44;00:14:37;10:54:57;11:09:34;11:14:18;0;;La Paz - 01
5/3/2025;SG;15;C  13;PComercial13 PComercial13;atendido;00:00:12;00:18:02;10:56:54;11:14:56;11:15:08;0;;La Paz - 01
5/3/2025;EG;5;C  21;PComercial21 PComercial21;atendido;00:02:49;00:01:12;10:12:39;10:13:51;10:16:40;0;;La Paz - 01
5/3/2025;CG;1;CJ  11;PCajas11 PCajas11;atendido;00:00:01;00:18:15;10:11:39;10:29:54;10:29:55;0;;La Paz - 01
5/3/2025;CG;2;CJ  11;PCajas11 PCajas11;atendido;00:07:00;00:05:50;10:24:06;10:29:56;10:36:56;0;;La Paz - 01
5/3/2025;ATG;7;S  1;PSiniestros1 PSiniestros1;atendido;00:22:09;00:04:10;10:02:09;10:06:19;10:28:28;0;;La Paz - 01
5/3/2025;ATG;10;S  1;PSiniestros1 PSiniestros1;atendido;00:13:25;00:14:44;10:19:42;10:34:26;10:47:51;0;;La Paz - 01
5/3/2025;ATG;11;S  1;PSiniestros1 PSiniestros1;atendido;01:08:32;00:25:18;10:22:35;10:47:53;11:56:25;0;;La Paz - 01
5/3/2025;ATG;8;S  2;PSiniestros2 PSiniestros2;atendido;00:03:01;00:00:50;10:09:55;10:10:45;10:13:46;0;;La Paz - 01
5/3/2025;ATG;9;S  2;PSiniestros2 PSiniestros2;atendido;00:37:31;00:02:52;10:11:56;10:14:48;10:52:19;0;;La Paz - 01
5/3/2025;ATG;12;S  2;PSiniestros2 PSiniestros2;atendido;00:15:13;00:19:59;10:32:27;10:52:26;11:07:39;0;;La Paz - 01
5/3/2025;APP;1;S  3;PSiniestros3 PSiniestros3;atendido;00:34:30;00:00:27;10:36:04;10:36:31;11:11:01;0;;La Paz - 01
5/3/2025;AMG;2;S  4;PSiniestros4 PSiniestros4;atendido;00:21:45;00:08:18;10:09:22;10:17:40;10:39:25;0;;La Paz - 01
5/3/2025;AMG;3;S  4;PSiniestros4 PSiniestros4;atendido;00:08:26;00:07:17;10:32:09;10:39:26;10:47:52;0;;La Paz - 01
5/3/2025;AMG;4;S  4;PSiniestros4 PSiniestros4;atendido;00:15:33;00:06:08;10:44:49;10:50:57;11:06:30;0;;La Paz - 01
5/3/2025;SG;16;C  7;PComercial7 PComercial7;atendido;00:02:22;00:06:58;11:04:25;11:11:23;11:13:45;0;;La Paz - 01
5/3/2025;VCG;4;C  9;PComercial9 PComercial9;atendido;00:27:15;00:00:31;11:34:18;11:34:49;12:02:04;0;;La Paz - 01
5/3/2025;SG;23;C  9;PComercial9 PComercial9;atendido;00:01:11;00:05:20;11:56:45;12:02:05;12:03:16;0;;La Paz - 01
5/3/2025;SG;17;C  13;PComercial13 PComercial13;atendido;00:06:33;00:02:17;11:15:20;11:17:37;11:24:10;0;;La Paz - 01
5/3/2025;SG;18;C  13;PComercial13 PComercial13;atendido;00:01:58;00:01:26;11:22:46;11:24:12;11:26:10;0;;La Paz - 01
5/3/2025;SG;19;C  13;PComercial13 PComercial13;atendido;00:06:10;00:02:49;11:23:49;11:26:38;11:32:48;0;;La Paz - 01
5/3/2025;SG;20;C  13;PComercial13 PComercial13;atendido;00:01:10;00:07:02;11:26:28;11:33:30;11:34:40;0;;La Paz - 01
5/3/2025;SG;21;C  13;PComercial13 PComercial13;atendido;00:01:29;00:05:32;11:29:10;11:34:42;11:36:11;0;;La Paz - 01
5/3/2025;SG;22;C  13;PComercial13 PComercial13;atendido;00:00:39;00:00:17;11:56:26;11:56:43;11:57:22;0;;La Paz - 01
5/3/2025;EG;6;C  21;PComercial21 PComercial21;atendido;00:02:41;00:00:26;11:01:49;11:02:15;11:04:56;0;;La Paz - 01
5/3/2025;EG;7;C  21;PComercial21 PComercial21;atendido;00:04:02;00:04:24;11:18:20;11:22:44;11:26:46;0;;La Paz - 01
5/3/2025;EG;8;C  21;PComercial21 PComercial21;ausente;00:03:01;00:03:08;11:23:40;11:26:48;11:29:49; ;;La Paz - 01
5/3/2025;CG;3;CJ  11;PCajas11 PCajas11;atendido;00:12:36;00:00:23;11:50:48;11:51:11;12:03:47;0;;La Paz - 01
5/3/2025;ATG;16;S  1;PSiniestros1 PSiniestros1;atendido;00:10:24;00:20:35;11:35:51;11:56:26;12:06:50;0;;La Paz - 01
